Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)
2860	28.66805	-3.3042	-3.66609
2861	28.66805	-4.25105	-0.757434
2862	28.66805	3.853795	-2.87602
2863	28.66805	2.210445	-2.868061
2864	28.66805	0.1779607	-3.682954
2865	28.66805	1.743912	-4.291375
2866	28.66805	-1.997284	-4.377869
2867	28.66805	-0.9243925	-4.132698
2868	28.66805	1.15071	5.940014
2869	28.66805	2.277703	5.620089
2870	28.66805	-2.409971	5.698833
2871	28.66805	4.148931	4.275027
2872	28.66805	-4.154038	4.312847
2873	28.66805	4.939487	3.419632
2874	28.66805	-4.852084	3.401059
2875	28.66805	-5.520525	2.271742
2876	28.66805	5.731266	1.239481
2877	28.66805	-6.302726	0.1096271
2878	28.66805	5.799917	-1.127642
2879	28.66805	-5.608806	-0.783729
2880	28.66805	-5.363586	-2.140641
2881	28.66805	4.866067	-3.350573
2882	28.66805	-4.921682	-3.313581
2883	28.66805	4.280084	-4.282195
2884	28.66805	-4.285484	-4.32316
2885	28.66805	3.299806	-4.981606
2886	28.66805	-3.386983	-5.136824
2887	28.66805	2.252514	-5.431079
2888	28.66805	-0.7992034	-5.437929
2889	28.66805	0.1181635	-6.140761
2890	28.66805	1.116197	-5.741891
2891	28.66805	0.0332	7.216778
2892	28.66805	1.427983	7.116275
2893	28.66805	-1.380283	7.061126
2894	28.66805	-2.790123	6.662153
2895	28.66805	4.034895	6.068156
2896	28.66805	-4.072301	6.114079
2897	28.66805	5.09834	5.157303
2898	28.66805	-5.124003	5.185857
2899	28.66805	5.972935	4.056801
2900	28.66805	-5.992298	4.07747
2901	28.66805	6.593708	2.801965
2902	28.66805	-6.685133	2.837914
2903	28.66805	6.978309	1.458216
2904	28.66805	7.101419	0.084
2905	28.66805	7.022934	-1.362721
2906	28.66805	-7.049411	-1.346748
2907	28.66805	6.617576	-2.726089
2908	28.66805	5.995393	-3.980034
2909	28.66805	-6.004473	-3.961271
2910	28.66805	5.107089	-5.053499
2911	28.66805	-5.135054	-5.118992
2912	28.66805	4.019383	-5.978157
2913	28.66805	-4.019165	-6.063336
2914	28.66805	2.765382	-6.612764
2915	28.66805	-2.670923	-6.622418
2916	28.66805	-1.344959	-6.973333
2917	28.66805	0.0142	-7.139593
2918	28.66805	3.264853	-7.827227
2919	28.66805	4.739069	-7.038725
2920	28.66805	6.020566	-5.990407
2921	28.66805	7.062841	-4.705317
2922	28.66805	7.823493	-3.227545
2923	28.66805	8.292606	-1.617895
2924	28.66805	8.453755	0.039
2925	28.66805	8.312527	1.689152
2926	28.66805	7.850633	3.278438
2927	28.66805	7.082181	4.761328
2928	28.66805	6.043504	6.052715
2929	28.66805	4.755675	7.136403
2930	28.66805	3.277797	7.927072
2931	28.66805	1.673396	8.393658
2932	28.66805	0.0199	8.554788
2933	28.66805	-1.654817	8.384526
2934	28.66805	-3.285608	7.917195
2935	28.66805	-4.771214	7.165528
2936	28.66805	-6.053797	6.096109
2937	28.66805	-7.108727	4.800775
2938	28.66805	-7.904101	3.324143
2939	28.66805	-8.427547	1.745869
2940	28.66805	-8.600393	0.0209
2941	28.66805	-8.37583	-1.646573
2942	28.66805	-7.863615	-3.220837
2943	28.66805	-7.093731	-4.688025
2944	28.66805	-6.03816	-6.022667
2945	28.66805	-4.71767	-7.105152
2946	28.66805	-3.206943	-7.843905
2947	28.66805	-1.634034	-8.304845
2948	28.66805	0.0122	-8.477594
2949	28.66805	1.679489	-8.31737
2950	28.66805	-2.327728	0.9184905
2951	28.66805	-1.13791	2.792347
2952	28.66805	1.115673	-0.5084605
2953	28.66805	-4.203672	-1.828768
2954	28.66805	-2.844882	2.128767
2955	28.66805	-2.482855	4.171498
2956	28.66805	0.3545538	3.683898
2957	28.66805	4.306936	1.961194
2958	28.66805	3.576095	-0.711225
2959	28.66805	0.5610111	-4.725238
2960	28.66805	-2.188757	-5.501755
2961	28.66805	-3.747725	-2.79425
2962	28.66805	-6.604794	-2.651479
2963	28.66805	-5.990508	1.119546
2964	28.66805	-3.367227	5.105906
2965	28.66805	-1.223249	6.027671
2966	28.66805	-0.0395	6.057435
2967	28.66805	2.792463	6.746454
2968	28.66805	3.298969	5.047874
2969	28.66805	5.442314	2.376932
2970	28.66805	5.91231	0.0697
2971	28.66805	5.427783	-2.271587
2972	28.66805	2.975491	-3.774837
2973	28.66805	-7.346028	0.0549
2974	28.66805	-7.194797	1.506049
2975	28.66805	1.457366	-7.043558
2976	26.7458	0.1511709	0.8345208
2977	26.7458	0.5092279	0.2445105
2978	26.7458	-1.119459	0.3848815
2979	26.7458	-0.5964558	-0.4516382
2980	26.7458	-0.0579	1.491238
2981	26.7458	-0.2273838	-1.282097
2982	26.7458	1.16707	1.786467
2983	26.7458	-0.8011076	1.517778
2984	26.7458	0.5576812	2.267751
2985	26.7458	1.583022	1.15676
2986	26.7458	1.852	-1.699173
2987	26.7458	2.491862	-1.230242
2988	26.7458	2.055325	0.6309603
2989	26.7458	2.17546	-0.6169351
2990	26.7458	2.55656	0.1316306
